date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:26:54	148/148	---M-Z	-1	error ('Open%20error%20when%20decompressing%20(can%20not%20create%20temporary%20file%20/tmp0.z)')	text/plain	etag:%2216e-4d021de8b1e40-gzip%22	http://www.closethedoor.org.uk/robots.txt		(from )
14:26:54	26743/26743	U--M-Z	200	updated ('OK')	text/html	date:Fri,%2028%20Jul%202023%2021:29:02%20GMT	http://www.closethedoor.org.uk/	www.closethedoor.org.uk/index.html	(from )
14:26:55	3792/3792	U--M-Z	200	updated ('OK')	text/css	etag:%22ed0-53dd03b306a8f-gzip%22	http://www.closethedoor.org.uk/files/cache/css/slate/typography.css	www.closethedoor.org.uk/files/cache/css/slate/typography.css	(from http://www.closethedoor.org.uk/)
14:26:55	14071/14071	U--M-Z	200	updated ('OK')	text/css	etag:%2236f7-4d021dec82740-gzip%22	http://www.closethedoor.org.uk/packages/theme_slate/themes/slate/columnal.css	www.closethedoor.org.uk/packages/theme_slate/themes/slate/columnal.css	(from http://www.closethedoor.org.uk/)
14:26:55	17726/17726	U--M-Z	200	updated ('OK')	text/css	etag:%22453e-53dd03b307a2f-gzip%22	http://www.closethedoor.org.uk/files/cache/css/slate/main.css	www.closethedoor.org.uk/files/cache/css/slate/main.css	(from http://www.closethedoor.org.uk/)
14:26:55	1295/1295	U--M-Z	200	updated ('OK')	text/css	etag:%2250f-4d021dec82740-gzip%22	http://www.closethedoor.org.uk/packages/theme_slate/themes/slate/mobile.css	www.closethedoor.org.uk/packages/theme_slate/themes/slate/mobile.css	(from http://www.closethedoor.org.uk/)
14:26:56	1639/1639	U--M-Z	200	updated ('OK')	text/css	etag:%22667-4eb9db01e2100-gzip%22	http://www.closethedoor.org.uk/updates/concrete5.6.2.1_updater/concrete/css/ccm.base.css?v=b4f44e4901a182db06e4752ec08f50c2	www.closethedoor.org.uk/updates/concrete5.6.2.1_updater/concrete/css/ccm.base0da7.css	(from http://www.closethedoor.org.uk/)
14:26:56	2450/2450	U--M-Z	200	updated ('OK')	application/javascript	etag:%22992-4eb9db01e2100-gzip%22	http://www.closethedoor.org.uk/updates/concrete5.6.2.1_updater/concrete/js/ccm.base.js?v=b4f44e4901a182db06e4752ec08f50c2	www.closethedoor.org.uk/updates/concrete5.6.2.1_updater/concrete/js/ccm.base0da7.js	(from http://www.closethedoor.org.uk/)
14:26:56	26743/26743	U--M-Z	200	updated ('OK')	text/html	date:Fri,%2028%20Jul%202023%2021:29:03%20GMT	http://www.closethedoor.org.uk/index.php	www.closethedoor.org.uk/index-2.html	(from http://www.closethedoor.org.uk/)
14:26:58	8360/8360	U--M-Z	200	updated ('OK')	text/css	etag:%2220a8-530244e2bc300-gzip%22	http://www.closethedoor.org.uk/packages/jb_smooth/blocks/jb_smooth/css/magnific.css?v=b4f44e4901a182db06e4752ec08f50c2	www.closethedoor.org.uk/packages/jb_smooth/blocks/jb_smooth/css/magnific0da7.css	(from http://www.closethedoor.org.uk/)
14:26:58	3250/3250	U--M-Z	200	updated ('OK')	text/css	etag:%22cb2-530244e2bc300-gzip%22	http://www.closethedoor.org.uk/packages/jb_smooth/blocks/jb_smooth/css/smoothDivScroll.css?v=b4f44e4901a182db06e4752ec08f50c2	www.closethedoor.org.uk/packages/jb_smooth/blocks/jb_smooth/css/smoothDivScroll0da7.css	(from http://www.closethedoor.org.uk/)
14:26:58	666/666	U--M-Z	200	updated ('OK')	text/css	etag:%2229a-530244e2bc300-gzip%22	http://www.closethedoor.org.uk/packages/jb_smooth/blocks/jb_smooth/css/smooth.css?v=b4f44e4901a182db06e4752ec08f50c2	www.closethedoor.org.uk/packages/jb_smooth/blocks/jb_smooth/css/smooth0da7.css	(from http://www.closethedoor.org.uk/)
14:26:59	94840/94840	U--M-Z	200	updated ('OK')	application/javascript	etag:%2217278-4eb9db01e2100-gzip%22	http://www.closethedoor.org.uk/updates/concrete5.6.2.1_updater/concrete/js/jquery.js?v=b4f44e4901a182db06e4752ec08f50c2	www.closethedoor.org.uk/updates/concrete5.6.2.1_updater/concrete/js/jquery0da7.js	(from http://www.closethedoor.org.uk/)
